"Amounts of waste generated by sector 1995-2013 "

"Waste","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Municipal waste",..,..,..,..,..,..,..,..,157,113,97,102,108,112
"Municipal waste per person (kg)",..,..,..,..,..,..,..,..,498,354,305,320,339,347
"Mixed Household waste",88,80,72,71,78,82,78,81,74,64,55,51,53,51
"Mixed non-household production waste",259,255,146,150,152,89,85,48,92,58,70,74,72,70
"Mixed household and production waste",..,..,..,..,..,..,..,20,17,13,5,2,1,1
"Separated waste",102,126,255,263,271,360,392,438,507,404,378,397,406,404
" Paper & paperboard",3,5,7,8,8,10,12,19,22,18,20,24,23,26
"Plastics",..,..,..,..,..,..,..,6,4,5,3,5,5,6
"Wood",2,12,18,19,20,42,54,40,54,29,17,17,16,20
"Beverage packaging (levied)",7,8,8,8,8,8,8,8,7,7,6,7,7,8
"Electronic equipment",..,..,..,..,..,..,..,2,2,1,2,2,2,2
"Vehicles",..,..,..,..,3,8,10,9,10,6,3,4,5,5
"Tires",5,5,5,5,5,5,5,6,5,5,3,4,4,4
" Scrap metal",34,35,40,40,42,42,40,44,51,35,35,37,36,41
"Slaughterhouse waste",14,15,16,16,16,16,16,19,23,22,20,16,19,19
"Agricultural waste",..,..,47,47,47,48,48,7,15,5,11,8,5,5
"Fishprocessing (on shore)",..,..,32,32,32,35,30,58,54,77,79,109,104,88
"Fishing equipment",..,..,..,..,..,15,15,1,1,1,1,1,1,2
"Industrial metal production",..,..,10,10,10,11,11,72,113,120,119,117,126,123
"C&D waste",..,..,12,15,17,22,25,20,5,6,5,6,3,1
"Inert waste",..,..,4,4,4,24,12,75,50,32,27,14,18,21
"Contaminated soil",..,..,..,..,..,2,31,11,37,10,1,1,1,1
"Incinerator ash",..,..,..,..,..,3,3,3,3,3,3,3,3,2
"Sludge from septic-tanks",5,5,5,6,6,6,6,6,6,4,4,3,3,3
"Garden waste",5,8,11,12,11,11,12,8,9,7,5,4,11,10
"Biodegradable food waste",..,..,..,..,..,..,..,..,..,1,4,4,5,7
"Hazardous waste",7,8,8,8,8,8,9,11,8,6,7,8,7,6
"Other",20,25,32,33,34,44,45,13,28,4,3,3,2,4
